['                5 Bedroom Townhouse to rent in Lavington            '],['250000'],"['LavingtonKileleshwa,Lavington,Nairobi']",['5'],['5'],[4.66]
['                4 Bedroom Townhouse to rent in Kilimani            '],['100000'],"['Impalaclub54,Kilimani,Nairobi']",['4'],['4'],[6.46]
['                1 Bedroom Apartment / Flat to rent in Kileleshwa            '],['40000'],"['Kileleshwa,Nairobi']",['1'],['1'],[4.66]
['                4 Bedroom Townhouse to rent in Lavington            '],['260000'],"['NaushadMeraliDrMaziwa,Lavington,Nairobi']",['4'],['5'],[6.2]
['                2 Bedroom House to rent in Westlands            '],['40000'],"['SportsRdMuthangari,Westlands,Nairobi']",['2'],['3'],[3.72]
['                3 Bedroom Apartment / Flat to rent in Westlands            '],['160000'],"['GeneralMathengeRdSpringValley,Westlands,Nairobi']",['3'],['3'],[4.21]
['                4 Bedroom House to rent in Kyuna            '],['240000'],"['KyunaRdNairobi,Kyuna,Nairobi']",['4'],['4'],[6.57]
['                5 Bedroom Townhouse to rent in Lavington            '],['250000'],"['LavingtonKileleshwa,Lavington,Nairobi']",['5'],['5'],[4.66]
['                5 Bedroom House to rent in Peponi            '],['200000'],"['PeponiRoad4453,Peponi,Nairobi']",['5'],['5'],[5.57]
['                4 Bedroom Apartment / Flat to rent in Riverside            '],['280000'],"['Riverside,Nairobi']",['4'],['5'],[3.67]
['                5 Bedroom Townhouse to rent in Karen            '],['300000'],"['Keraraponroad,Karen,Nairobi']",['5'],['5'],[16.76]
['                2 Bedroom Apartment / Flat to rent in Kileleshwa            '],['80000'],"['HamisiRdKileleshwa,Kileleshwa,Nairobi']",['2'],['2'],[4.91]
['                4 Bedroom House to rent in Lakeview            '],['325000'],"['LakeViewDrive,Lakeview,Nairobi']",['4'],['3'],[7.42]
['                2 Bedroom Apartment / Flat to rent in Lavington            '],['80000'],"['Lavington,Nairobi']",['2'],['3'],[5.11]
['                2 Bedroom Apartment / Flat to rent in Muthaiga            '],['160000'],"['Muthaiga,Nairobi']",['2'],['2'],[3.71]
['                3 Bedroom House to rent in Spring Valley            '],['260000'],"['SpringValleyRdKitisuru,SpringValley,Nairobi']",['3'],['3'],[5.87]
